"filename", "language", "JSON", "CSS", "PHP", "JavaScript", "XML", "Markdown", "SCSS", "comment", "blank", "total"
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\pagination\simple-bootstrap-4.blade.php", "PHP", 0, 0, 26, 0, 0, 0, 0, 0, 2, 28
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\pagination\simple-bootstrap-5.blade.php", "PHP", 0, 0, 28, 0, 0, 0, 0, 0, 2, 30
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\pagination\simple-default.blade.php", "PHP", 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\pagination\simple-tailwind.blade.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 0, 2, 26
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\pagination\tailwind.blade.php", "PHP", 0, 0, 100, 0, 0, 0, 0, 0, 7, 107
"f:\programming\projects\Rcomputer-project\back-end\routes\api.php", "PHP", 0, 0, 18, 0, 0, 0, 0, 9, 12, 39
"f:\programming\projects\Rcomputer-project\back-end\routes\console.php", "PHP", 0, 0, 6, 0, 0, 0, 0, 0, 3, 9
"f:\programming\projects\Rcomputer-project\back-end\routes\web.php", "PHP", 0, 0, 111, 0, 0, 0, 0, 0, 39, 150
"f:\programming\projects\Rcomputer-project\back-end\tests\Feature\ExampleTest.php", "PHP", 0, 0, 11, 0, 0, 0, 0, 4, 5, 20
"f:\programming\projects\Rcomputer-project\back-end\tests\TestCase.php", "PHP", 0, 0, 6, 0, 0, 0, 0, 1, 4, 11
"f:\programming\projects\Rcomputer-project\back-end\tests\Unit\ExampleTest.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 3, 4, 17
"f:\programming\projects\Rcomputer-project\back-end\vendor\spatie\ignition\resources\compiled\ignition.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 2, 0, 3
"f:\programming\projects\Rcomputer-project\back-end\vendor\spatie\ignition\resources\compiled\ignition.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"f:\programming\projects\Rcomputer-project\back-end\vite.config.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"Total", "-", 8472, 318, 5707, 24, 32, 45, 7, 1536, 1192, 17333
